number,greek,english,image
1,Να!,Look! / Here!,assets/1.png
2,Γεια σου!,Hello! (informal),assets/2.png
3,Γεια σας!,Hello! (formal/plural),assets/3.png
4,"Γεια σας, κυρία!","Hello, ma'am!",assets/4.png
5,"Γεια σας, κύριε!","Hello, sir!",assets/5.png
6,Καλημέρα!,Good morning!,assets/6.png
7,Καληνύχτα!,Good night!,assets/7.png
8,Τι κάνεις;,How are you?,assets/8.png
9,Καλά!,Good! / Well!,assets/9.png
10,Πώς σε λένε;,What is your name?,assets/10.png
11,Με λένε...,My name is...,assets/11.png
12,Εγώ είμαι,I am,assets/12.png
13,Εμείς είμαστε,We are,assets/13.png
14,Εσύ είσαι,You are (singular),assets/14.png
15,Εσείς είστε,You are (plural/formal),assets/15.png
16,Εσείς είστε η κυρία...,You are Mrs./Ms....,assets/16.png
17,Αυτός είναι,He is,assets/17.png
18,Αυτοί είναι,They are (masculine/mixed),assets/18.png
19,Αυτή είναι,She is,assets/19.png
20,Αυτές είναι,They are (feminine),assets/20.png
21,Αυτό είναι,It is,assets/21.png
22,Αυτά είναι,They are (neuter),assets/22.png
23,Nαι!,Yes!,assets/23.png
24,Όχι!,No!,assets/24.png
25,o πρίγκιπας,the prince,assets/25.png
26,ο βάτραχος,the frog,assets/26.png
27,η μαμά,the mom,assets/27.png
28,το παιδί,the child,assets/28.png
29,το αγόρι,the boy,assets/29.png
30,το κορίτσι,the girl,assets/30.png
31,Από πού είσαι;,Where are you from?,assets/31.png
32,Eίμαι από τον Καναδά,I am from Canada,assets/32.png
33,Eίμαι από την Ελλάδα,I am from Greece,assets/33.png
34,Είμαι από το Μαϊάμι,I am from Miami,assets/34.png
35,το όνομα,the first name,assets/35.png
36,το επώνυμο,the last name,assets/36.png
37,η ηλικία,the age,assets/37.png
38,η διεύθυνση,the address,assets/38.png
39,ο αριθμός,the number,assets/39.png
40,η πόλη,the city,assets/40.png
41,το τηλέφωνο,the telephone,assets/41.png
42,Πού μένεις;,Where do you live?,assets/42.png
43,Μένω στον Καναδά,I live in Canada,assets/43.png
44,Μένω στην Ελλάδα,I live in Greece,assets/44.png
45,Μένω στο Μαϊάμι,I live in Miami,assets/45.png
46,Εγώ μένω στο Μαϊάμι,I live in Miami,assets/46.png
47,Εμείς μένουμε στο Μαϊάμι,We live in Miami,assets/47.png
48,Εσύ μένεις στο Μαϊάμι,You live in Miami (singular),assets/48.png
49,Εσείς μένετε στο Μαϊάμι,You live in Miami (plural/formal),assets/49.png
50,Αυτός μένει στο Μαϊάμι,He lives in Miami,assets/50.png
51,Αυτοί μένουν στο Μαϊάμι,They live in Miami (masculine/mixed),assets/51.png
52,Αυτή μένει στο Μαϊάμι,She lives in Miami,assets/52.png
53,Αυτές μένουν στο Μαϊάμι,They live in Miami (feminine),assets/53.png
54,Αυτό μένει στο Μαϊάμι,It lives in Miami,assets/54.png
55,Αυτά μένουν στο Μαϊάμι,They live in Miami (neuter),assets/55.png
56,Πόσων χρονών είσαι;,How old are you?,assets/56.png
57,Είμαι 7 χρονών!,I am 7 years old!,assets/57.png
58,Πόσα είναι;,How many are there?,assets/58.png
59,"1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10",assets/59.png
60,Πόσο κάνει 8+2;,How much is 8+2?,assets/60.png
61,Πόσο κάνει 8-2;,How much is 8-2?,assets/61.png
62,διαβάζω,I read,assets/62.png
63,φωνάζω,I shout,assets/63.png
64,παίζω,I play,assets/64.png
65,η Ελλάδα,Greece,assets/65.png
66,ο Έλληνας,the Greek man/boy,assets/66.png
67,Η Ελληνίδα,the Greek woman/girl,assets/67.png
68,τα ελληνικά,Greek (the language),assets/68.png
69,η Αθήνα,Athens,assets/69.png
70,η Αμερική,America,assets/70.png
71,ο Αμερικανός,the American man/boy,assets/71.png
72,η Αμερικανίδα,the American woman/girl,assets/72.png
73,τα αγγλικά,English (the language),assets/73.png
74,η Ουάσιγκτον,Washington,assets/74.png
75,η Ισπανία,Spain,assets/75.png
76,ο Ισπανός,the Spanish man/boy,assets/76.png
77,η Ισπανίδα,the Spanish woman/girl,assets/77.png
78,τα ισπανικά,Spanish (the language),assets/78.png
79,η Μαδρίτη,Madrid,assets/79.png
